period,strategy,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,n_months,calmar,es_5,worst_month
2020-2024,maspp_cluster_reliability,0.01061777712230172,0.03788958402002622,0.2802294455565884,-0.06514800479919702,0.5166666666666667,60,0.16297931387198197,-0.025770668037927668,-0.040076402880609374
2020-2024,central_cluster_dynamic,0.013856021807259644,0.041648949745207206,0.3326859834887947,-0.057123317537551066,0.5666666666666667,60,0.24256332448043014,-0.029556208848001992,-0.04429086891936006
2020-2024,inversevol_cluster_dynamic,0.007404186413918934,0.03412283034314414,0.21698629156671237,-0.06047585204946904,0.5666666666666667,60,0.12243211402565003,-0.023161837391971734,-0.037514485805761486
2015-2024,qpp_exact,0.02272472108164436,0.03885769265742274,0.5848191060130639,-0.07385850976449215,0.6166666666666667,120,0.30767911719455493,-0.027647020635724783,-0.04687981519931029
2015-2024,full_mas_exact,0.009446933865055351,0.03077144778373323,0.3070032301193609,-0.07925697385978026,0.5333333333333333,120,0.11919372397145347,-0.020934959521195853,-0.029464039113964866
2015-2024,central_q_exact,0.028022717991939006,0.04238686452434135,0.6611179738441493,-0.07637605446350015,0.5583333333333333,120,0.36690449891373955,-0.02702650578139702,-0.0461017196008639
2015-2024,inverse_vol_exact,0.006802924706020397,0.02363547240906418,0.28782689798962857,-0.05254130113229405,0.525,120,0.12947765965847083,-0.01607117908910281,-0.02396253894037082
2015-2024,qpp_rebuilt,0.021471807043503377,0.03887255126027945,0.5523642351060088,-0.07480182927788137,0.6,120,0.28704922393993526,-0.02775553082121182,-0.04695462726263953
2015-2024,gov_rebuilt,0.028387244796976407,0.042464208729544595,0.668498145762596,-0.07551601389479445,0.55,120,0.3759102650270213,-0.026960936373018024,-0.04472336263506302
2015-2024,maspp_fixed_b035,0.013535263720400481,0.030024795409467585,0.4508028626277489,-0.06342184640084969,0.6166666666666667,120,0.21341642491536075,-0.021423041153460293,-0.035603227488031366
2015-2024,maspp_fixed_b05,0.015362166288936496,0.031017605049588476,0.4952724836226617,-0.06571393213494581,0.6333333333333333,120,0.2337733535316341,-0.022149372250693068,-0.03822273025525502
2015-2024,maspp_fixed_b06,0.01658177779460046,0.03208089946473374,0.5168738430426075,-0.06752054763434989,0.625,120,0.2455812100991428,-0.02275897873337676,-0.03996906543340411
2015-2024,maspp_fixed_b07,0.01780273203437943,0.03343094928276384,0.5325224804058458,-0.06933245715223957,0.625,120,0.2567734184768377,-0.023896436153748934,-0.0417154006115532
2015-2024,maspp_fixed_b08,0.0190250303520354,0.03503462004151583,0.5430351557827898,-0.07114962271545322,0.6083333333333333,120,0.26739467654131766,-0.025182751845614942,-0.04346173578970232
2015-2024,maspp_fixed_b09,0.020248674092540497,0.03685882262072836,0.5493575934558804,-0.07297200636538803,0.6083333333333333,120,0.2774855057588881,-0.026469067537480948,-0.045208070967851406
2015-2024,maspp_fixed_b095,0.020861000916995165,0.037843809219773795,0.5512394588992661,-0.07388514311489403,0.5916666666666667,120,0.2823436490412635,-0.027112225383413947,-0.04608123855692594
2015-2024,maspp_global_dynamic,0.02124327530389558,0.03659642322389144,0.5804740855119201,-0.07522174574114482,0.6166666666666667,120,0.282408698370263,-0.024845795222220014,-0.04608123855692594
2015-2024,maspp_cluster_dynamic,0.019298718603301124,0.03301425391599094,0.584557162866961,-0.06646829944281507,0.625,120,0.29034470213736197,-0.022768845800751305,-0.04049492712223345
2015-2024,maspp_cluster_reliability,0.018788591949842948,0.03299946667872288,0.5693604727847708,-0.06514800479919658,0.6083333333333333,120,0.28839857809543623,-0.02287599621689167,-0.040076402880609374
2015-2024,central_cluster_dynamic,0.024316524070240986,0.03692515211430285,0.6585355151677778,-0.057123317537551066,0.6416666666666667,120,0.4256847311827796,-0.025805171559960243,-0.04429086891936006
2015-2024,inversevol_cluster_dynamic,0.014983236884476892,0.028767269498490414,0.5208432063829745,-0.06047585204946915,0.6333333333333333,120,0.24775569713710902,-0.019988938387093706,-0.037514485805761486
